episode,falls,speed,average deviation
264,0,0.00367893,0.167476546
265,0,0.00451505,0.294240904
266,0,0.003979933,0.294699322
267,0,0.003946488,0.280758069
268,1,0.004149378,0.348747384
269,0,0.003846154,0.190783611
270,0,0.004247492,0.174897479
271,0,0.00367893,0.359027534
272,0,0.003779264,0.221256894
273,1,0.00451505,0.36776154
274,1,0.003835616,0.135553705
275,0,0.00361204,0.395148965
276,0,0.004414716,0.321750112
277,1,0.006030534,0.29466193
278,0,0.003143813,0.461303648
279,0,0.003879599,0.535659493
280,0,0.003712375,0.46593452
281,0,0.003946488,0.359926332
282,0,0.003545151,0.278411107
283,0,0.003979933,0.112687083
284,1,0.005391705,0.221063511
285,0,0.003712375,0.27095167
286,0,0.003311037,0.507965534
287,0,0.003578595,0.537304703
288,0,0.003511706,0.179963568
289,0,0.004147157,0.233684068
290,0,0.00264214,0.127667358
291,0,0.003545151,0.421468067
292,0,0.00361204,0.534490765
293,0,0.003846154,0.194870863
294,0,0.003143813,0.381984013
295,0,0.003511706,0.144177114
296,0,0.004046823,0.211941951
297,0,0.004013378,0.328769296
298,0,0.003745819,0.125072381
299,1,0.004652015,0.375877564
300,0,0.003344482,0.574273355
301,0,0.003277592,0.434611476
302,1,0.006159696,0.091325249
303,1,0.004074074,0.200246755
304,0,0.003545151,0.603774328
305,0,0.003745819,0.344916882
306,0,0.002876254,0.565689604
307,1,0.005858586,0.17802927
308,0,0.003946488,0.094689252
309,0,0.004214047,0.15531058
310,0,0.004046823,0.235101917
311,0,0.003879599,0.364473624
312,1,0.005527426,0.368256585
313,0,0.004414716,0.207243032
314,0,0.002608696,0.125890097
315,1,0.004869565,0.79975191
316,0,0.003745819,0.213600262
317,1,0.006223776,0.166377232
318,0,0.003578595,0.653700605
319,0,0.003311037,0.129226944
320,0,0.00367893,0.318117337
321,0,0.004414716,0.150868705
322,0,0.004314381,0.114766225
323,0,0.003812709,0.27265014
324,0,0.003511706,0.398196682
325,0,0.003745819,0.203209778
326,0,0.003712375,0.273219247
327,1,0.006068376,0.058715961
328,0,0.004314381,0.180799131
